Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
0.405;0.51;;;-0.107;-0.25;;;0.084;0.38;;;0.229;0.12;;
0.387;0.5;;;-0.061;-0.23;;;0.068;0.37;;;0.254;0.15;;
0.369;0.5;;;-0.016;-0.21;;;0.051;0.36;;;0.281;0.19;;
0.35;0.5;;;0.028;-0.19;;;0.033;0.35;;;0.31;0.22;;
0.33;0.5;;;0.068;-0.17;;;0.017;0.34;;;0.333;0.26;;
0.309;0.49;;;0.103;-0.14;;;0;0.34;;;0.342;0.28;;
0.29;0.49;;;0.134;-0.11;;;-0.016;0.32;;;0.344;0.31;;
0.269;0.48;;;0.162;-0.08;;;-0.033;0.31;;;0.343;0.32;;
0.247;0.48;;;0.19;-0.05;;;-0.048;0.3;;;0.339;0.34;;
0.226;0.47;;;0.219;-0.01;;;-0.064;0.29;;;0.33;0.35;;
0.203;0.47;;;0.247;0.03;;;-0.078;0.28;;;0.318;0.35;;
0.181;0.46;;;0.277;0.07;;;-0.092;0.26;;;0.302;0.36;;
0.159;0.45;;;0.306;0.11;;;-0.106;0.25;;;0.283;0.36;;
0.137;0.45;;;0.334;0.15;;;-0.119;0.23;;;0.262;0.36;;
0.114;0.44;;;0.36;0.18;;;-0.132;0.22;;;0.237;0.36;;
0.092;0.43;;;0.385;0.22;;;-0.144;0.2;;;0.21;0.35;;
0.07;0.42;;;0.406;0.25;;;-0.158;0.18;;;0.183;0.35;;
0.049;0.41;;;0.426;0.28;;;-0.171;0.16;;;0.155;0.34;;
0.027;0.4;;;0.441;0.31;;;-0.183;0.14;;;0.127;0.34;;
0.006;0.39;;;0.453;0.34;;;-0.198;0.12;;;0.099;0.33;;
-0.015;0.38;;;0.46;0.36;;;-0.212;0.1;;;0.07;0.32;;
-0.035;0.36;;;0.463;0.38;;;-0.226;0.08;;;0.042;0.31;;
-0.054;0.35;;;0.459;0.39;;;-0.241;0.05;;;0.014;0.3;;
-0.072;0.34;;;0.449;0.4;;;-0.258;0.03;;;-0.013;0.29;;
-0.089;0.32;;;0.434;0.41;;;-0.274;0;;;-0.041;0.27;;
-0.105;0.3;;;0.413;0.41;;;-0.29;-0.02;;;-0.065;0.26;;
-0.121;0.29;;;0.385;0.41;;;-0.308;-0.05;;;-0.089;0.24;;
-0.135;0.27;;;0.352;0.41;;;-0.327;-0.07;;;-0.112;0.22;;
-0.148;0.25;;;0.314;0.41;;;-0.346;-0.1;;;-0.132;0.2;;
-0.161;0.23;;;0.271;0.4;;;-0.366;-0.12;;;-0.151;0.18;;
-0.163;0.21;;;0.226;0.4;;;-0.387;-0.15;;;-0.171;0.15;;
-0.177;0.19;;;0.177;0.39;;;-0.408;-0.17;;;-0.192;0.13;;
-0.186;0.17;;;0.132;0.37;;;-0.43;-0.2;;;-0.215;0.1;;
-0.197;0.15;;;0.084;0.36;;;-0.452;-0.22;;;-0.238;0.07;;
-0.207;0.13;;;0.038;0.34;;;-0.475;-0.25;;;-0.265;0.03;;
-0.22;0.11;;;-0.006;0.32;;;-0.49;-0.27;;;-0.292;0;;
-0.231;0.09;;;-0.047;0.3;;;-0.497;-0.29;;;-0.324;-0.03;;
