X1,Y1,X2,Y2,,,,,,
-2.01E-03,1.52E-01,-2.01E-03,1.52E-01,,,,,,
-2.01E-03,1.52E-01,-2.01E-03,1.60E-01,,,,,,
-2.00E-03,1.44E-01,-2.00E-03,1.60E-01,,,,,,
-2.00E-03,1.44E-01,-2.00E-03,1.52E-01,,,,,,
-2.00E-03,1.44E-01,-2.00E-03,1.44E-01,,,,,,
-2.00E-03,1.44E-01,-2.00E-03,1.44E-01,,,,,,
-2.00E-03,1.36E-01,-2.00E-03,1.28E-01,,,,,,
-1.99E-03,1.44E-01,-1.99E-03,1.28E-01,,,,,,
-1.99E-03,1.44E-01,-1.99E-03,1.20E-01,,,,,,
-1.99E-03,1.36E-01,-1.99E-03,1.36E-01,,,,,,
-1.99E-03,1.36E-01,-1.99E-03,1.36E-01,,,,,,
-1.99E-03,1.36E-01,-1.99E-03,1.20E-01,,,,,,
-1.98E-03,1.28E-01,-1.98E-03,1.20E-01,,,,,,
-1.98E-03,1.20E-01,-1.98E-03,1.12E-01,,,,,,
-1.98E-03,1.28E-01,-1.98E-03,1.20E-01,,,,,,
-1.98E-03,1.28E-01,-1.98E-03,1.12E-01,,,,,,
-1.98E-03,1.20E-01,-1.98E-03,1.12E-01,,,,,,
-1.97E-03,1.12E-01,-1.97E-03,1.12E-01,,,,,,
-1.97E-03,1.12E-01,-1.97E-03,1.04E-01,,,,,,
-1.97E-03,1.12E-01,-1.97E-03,1.04E-01,,,,,,
-1.97E-03,1.12E-01,-1.97E-03,1.04E-01,,,,,,
-1.97E-03,1.04E-01,-1.97E-03,9.60E-02,,,,,,
-1.96E-03,1.12E-01,-1.96E-03,9.60E-02,,,,,,
-1.96E-03,1.04E-01,-1.96E-03,9.60E-02,,,,,,
-1.96E-03,1.04E-01,-1.96E-03,9.60E-02,,,,,,
-1.96E-03,9.60E-02,-1.96E-03,9.60E-02,,,,,,
-1.96E-03,9.60E-02,-1.96E-03,8.80E-02,,,,,,
-1.95E-03,9.60E-02,-1.95E-03,8.00E-02,,,,,,
-1.95E-03,9.60E-02,-1.95E-03,8.00E-02,,,,,,
-1.95E-03,8.80E-02,-1.95E-03,8.80E-02,,,,,,
-1.95E-03,8.80E-02,-1.95E-03,8.80E-02,,,,,,
-1.95E-03,8.00E-02,-1.95E-03,8.00E-02,,,,,,
-1.94E-03,7.20E-02,-1.94E-03,8.80E-02,,,,,,
-1.94E-03,6.40E-02,-1.94E-03,8.00E-02,,,,,,
-1.94E-03,7.20E-02,-1.94E-03,7.20E-02,,,,,,
-1.94E-03,5.60E-02,-1.94E-03,7.20E-02,,,,,,
-1.94E-03,5.60E-02,-1.94E-03,6.40E-02,,,,,,
