Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
0.525;0.75;;;-0.23;-0.43;;;0.259;0.61;;;-0.059;-0.35;;
0.513;0.75;;;-0.196;-0.41;;;0.246;0.6;;;-0.042;-0.33;;
0.5;0.75;;;-0.165;-0.39;;;0.234;0.6;;;-0.026;-0.29;;
0.486;0.75;;;-0.135;-0.37;;;0.222;0.59;;;-0.012;-0.26;;
0.471;0.75;;;-0.107;-0.34;;;0.209;0.59;;;0.001;-0.22;;
0.457;0.74;;;-0.082;-0.31;;;0.197;0.58;;;0.012;-0.18;;
0.441;0.74;;;-0.059;-0.28;;;0.186;0.58;;;0.022;-0.13;;
0.424;0.74;;;-0.037;-0.24;;;0.174;0.57;;;0.032;-0.08;;
0.408;0.73;;;-0.018;-0.19;;;0.162;0.56;;;0.043;-0.03;;
0.392;0.73;;;-0.003;-0.14;;;0.151;0.55;;;0.053;0.02;;
0.374;0.73;;;0.011;-0.09;;;0.14;0.54;;;0.065;0.07;;
0.356;0.72;;;0.023;-0.04;;;0.129;0.53;;;0.077;0.12;;
0.339;0.72;;;0.035;0.01;;;0.118;0.52;;;0.091;0.17;;
0.322;0.71;;;0.047;0.06;;;0.108;0.51;;;0.108;0.22;;
0.303;0.7;;;0.059;0.11;;;0.098;0.5;;;0.126;0.28;;
0.285;0.7;;;0.071;0.16;;;0.088;0.49;;;0.144;0.33;;
0.267;0.69;;;0.085;0.21;;;0.079;0.48;;;0.164;0.38;;
0.249;0.68;;;0.099;0.26;;;0.07;0.46;;;0.184;0.42;;
0.232;0.67;;;0.116;0.32;;;0.06;0.45;;;0.203;0.46;;
0.213;0.66;;;0.133;0.37;;;0.051;0.43;;;0.221;0.48;;
0.197;0.65;;;0.152;0.42;;;0.043;0.42;;;0.235;0.5;;
0.18;0.64;;;0.175;0.47;;;0.035;0.4;;;0.246;0.52;;
0.164;0.62;;;0.201;0.52;;;0.027;0.38;;;0.252;0.53;;
0.146;0.61;;;0.229;0.57;;;0.02;0.36;;;0.253;0.53;;
0.13;0.59;;;0.259;0.61;;;0.012;0.34;;;0.243;0.53;;
0.116;0.57;;;0.287;0.64;;;0.005;0.32;;;0.222;0.52;;
0.1;0.56;;;0.314;0.67;;;-0.002;0.3;;;0.198;0.51;;
0.086;0.54;;;;;;;-0.007;0.27;;;0.173;0.51;;
0.071;0.51;;;;;;;-0.013;0.25;;;0.149;0.49;;
0.059;0.49;;;;;;;-0.02;0.22;;;0.127;0.48;;
0.046;0.47;;;;;;;-0.025;0.19;;;0.105;0.46;;
0.033;0.44;;;;;;;-0.03;0.16;;;0.086;0.45;;
0.022;0.41;;;;;;;-0.035;0.13;;;0.066;0.42;;
0.013;0.38;;;;;;;-0.041;0.11;;;0.049;0.4;;
0.003;0.35;;;;;;;-0.048;0.07;;;0.033;0.37;;
-0.005;0.32;;;;;;;-0.053;0.04;;;0.018;0.34;;
-0.015;0.28;;;;;;;-0.059;0.01;;;0.005;0.3;;
-0.022;0.24;;;;;;;-0.066;-0.03;;;-0.007;0.26;;
-0.03;0.2;;;;;;;-0.073;-0.07;;;-0.017;0.22;;
-0.037;0.16;;;;;;;-0.08;-0.1;;;-0.027;0.17;;
-0.045;0.12;;;;;;;-0.087;-0.14;;;-0.036;0.12;;
-0.053;0.08;;;;;;;-0.097;-0.18;;;-0.047;0.07;;
-0.062;0.03;;;;;;;-0.105;-0.22;;;-0.058;0.02;;
-0.071;-0.01;;;;;;;-0.115;-0.26;;;-0.07;-0.03;;
-0.08;-0.06;;;;;;;-0.125;-0.3;;;-0.083;-0.09;;
-0.091;-0.11;;;;;;;-0.138;-0.34;;;-0.099;-0.14;;
-0.102;-0.16;;;;;;;-0.151;-0.39;;;-0.117;-0.19;;
-0.114;-0.21;;;;;;;-0.167;-0.43;;;-0.137;-0.24;;
-0.128;-0.26;;;;;;;-0.184;-0.47;;;-0.158;-0.29;;
-0.141;-0.3;;;;;;;-0.204;-0.51;;;-0.179;-0.34;;
-0.158;-0.35;;;;;;;-0.228;-0.55;;;-0.202;-0.38;;
-0.175;-0.4;;;;;;;-0.254;-0.59;;;-0.222;-0.41;;
-0.196;-0.45;;;;;;;-0.28;-0.62;;;-0.24;-0.44;;
